,Point ID,Observed Value [mGal],Time,Voltage [V],Temperature [°C],Altitude,Counter Reading,Remark,Date,Profile,ID,lat,lon,ele,time,cmt,name,x,y,Ele_tiff,minutes,drift factor,Corrected Value [mGal],Reading difference [mGal],abs_Grav,Elevation_corrected_normal,gravity_disturbance_Tomasz_Leo,Theo_Grav,gravity_disturbance_Andrea,gravity_disturbance_comparison,gravity_bouger_corrected,gravity_bouger_corrected1800,gravity_bouger_corrected2000,gravity_bouger_corrected2200,gravity_bouger_corrected2400,gravity_bouger_corrected2600,bouger_rho_delta,regional,residual,CORRECTEDx,CORRETED
0,8001,4864.71321,01/01/1900 13:04,12.6,50,9,4754.5,Base Station I,6.12.2022,8,96,51.41629097,6.298264973,8.799789,2022-12-06T11:57:06Z,,8001,312137.2347,5699583.159,41.4175,0,0,4864.71321,0,981184.48,981183.1837,1.296267792,981183.1876,1.292350152,-0.00391764,-3.341198162,-1.830113605,-2.177489475,-2.524865106,-2.872240738,-3.219616607,-1.389503002,-2.970344158,-0.370854004,218366.5117,381192.513
1,8002,4865.533514,01/01/1900 13:14,12.6,50,13,4755.3,,6.12.2022,8,97,51.41715003,6.301201992,13.238115,2022-12-06T12:10:34Z,BASE1,8002,312344.9437,5699671.146,38.6,0,0,4865.533514,0.820304,981185.3003,981184.1291,1.1712035,981184.1328,1.167553605,-0.003649895,-3.150790328,-1.74250018,-2.066245192,-2.389989966,-2.71373474,-3.037479991,-1.294979811,-2.910675208,-0.24011512,218569.6151,381290.6376
2,8003,4866.25128,01/01/1900 13:22,12.5,50,16,4756,,6.12.2022,8,98,51.417849,6.303712958,15.555175,2022-12-06T12:20:06Z,,8003,312522.3707,5699742.43,37.055,0,0,4866.25128,1.53807,981186.0181,981184.6676,1.350438369,981184.6711,1.346934781,-0.003503588,-2.798563706,-1.446641671,-1.757428633,-2.068215119,-2.379001843,-2.689788567,-1.243146896,-2.89092203,0.092358324,218743.2993,381370.5864
3,8004,4866.456356,01/01/1900 13:32,12.5,50,18,4756.2,,6.12.2022,8,99,51.41740702,6.305652028,17.087118,2022-12-06T12:28:22Z,,8004,312655.3678,5699688.328,35.9175,0,0,4866.456356,1.743146,981186.2231,981184.9796,1.243524984,981184.983,1.240128514,-0.00339647,-2.778112932,-1.467691465,-1.76893787,-2.070184036,-2.371430202,-2.672676607,-1.204985142,-2.882718499,0.104605567,218878.7973,381323.1159
4,8005,4867.174122,01/01/1900 13:41,12.6,50,18,4756.9,Changing voltage,6.12.2022,8,100,51.417749,6.310514035,17.734779,2022-12-06T12:39:01Z,,8005,312994.7761,5699713.928,32.12,0,0,4867.174122,2.460912,981186.9409,981186.1817,0.759173051,981186.1848,0.756133773,-0.003039279,-2.837263211,-1.665390595,-1.9347869,-2.204182728,-2.473578556,-2.742974862,-1.077584267,-2.946029502,0.108766291,219216.5121,381365.432
5,8006,4868.404578,01/01/1900 13:53,12.5,49.9,17,4758.1,,6.12.2022,8,101,51.41806299,6.315432033,17.373825,2022-12-06T12:53:01Z,,8006,313337.9582,5699736.295,28.8525,0,0,4868.404578,3.691368,981188.1714,981187.2178,0.953542232,981187.2206,0.950809416,-0.002732816,-2.277036429,-1.224375964,-1.466367007,-1.708357811,-1.950348616,-2.192339659,-0.967963696,-3.108472586,0.831436157,219558.1561,381404.7056
6,8007,4868.712192,01/01/1900 14:03,12.5,49.9,20,4758.4,,6.12.2022,8,102,51.41929404,6.31658203,19.79159,2022-12-06T13:02:03Z,,8007,313422.9211,5699870.239,28.2375,0,0,4868.712192,3.998982,981188.479,981187.5164,0.962620402,981187.519,0.959945004,-0.002675398,-2.199097252,-1.168874597,-1.405707454,-1.642540312,-1.87937293,-2.116205787,-0.94733119,-3.190610436,0.991513184,219636.4017,381542.6729
7,8008,4863.995444,01/01/1900 14:46,12.4,49.9,38,4753.8,Next to windmill,6.12.2022,8,103,51.414916,6.294203019,38.460358,2022-12-06T13:45:40Z,,8008,311849.1892,5699440.71,43.607502,0,0,4863.995444,-0.717766,981183.7622,981182.3864,1.375798499,981182.3906,1.371672512,-0.004125987,-3.506879056,-1.915894235,-2.281638111,-2.647381509,-3.013125146,-3.37886926,-1.462975025,-3.118551984,-0.388327072,218085.8616,381036.0318
8,8009,4863.277678,01/01/1900 14:59,12.4,49.9,42,4753.1,,6.12.2022,8,104,51.41503704,6.288583037,41.980202,2022-12-06T13:58:01Z,,8009,311458.9598,5699468.616,45.06,0,0,4863.277678,-1.435532,981183.0445,981181.9489,1.095581703,981181.9532,1.091316831,-0.004264871,-3.949730702,-2.305752345,-2.683678456,-3.061604329,-3.439530202,-3.817456551,-1.511704206,-3.440071393,-0.509659309,217694.7521,381044.647
9,8010,4862.867526,01/01/1900 15:03,12.5,49.9,40,4752.7,,6.12.2022,8,105,51.41404102,6.284112968,40.490585,2022-12-06T14:03:49Z,,8010,311144.0745,5699369.389,45.365,0,0,4862.867526,-1.845684,981182.6343,981181.7668,0.867540003,981181.7711,0.863246473,-0.00429353,-4.211923002,-2.556816696,-2.937301038,-3.317785143,-3.698269247,-4.078753351,-1.521936655,-3.796477875,-0.415445127,217385.1645,380930.0092
10,8011,4863.226409,01/01/1900 15:14,12.4,49.9,38,4753.05,,6.12.2022,8,106,51.41246304,6.27946998,38.049664,2022-12-06T14:13:36Z,,8011,310814.75,5699205.923,43.8125,0,0,4863.226409,-1.486801,981182.9932,981182.1065,0.886719927,981182.1106,0.882574615,-0.004145311,-4.018911139,-2.420446888,-2.787910238,-3.15537335,-3.522835985,-3.890299097,-1.469852209,-4.27019317,0.251282031,217064.3262,380750.5025
11,8012,4862.867526,01/01/1900 15:23,12.4,49.9,37,4752.7,,6.12.2022,8,107,51.41300401,6.275613969,37.158432,2022-12-06T14:23:20Z,,8012,310548.8855,5699276.035,44.595,0,0,4862.867526,-1.845684,981182.6343,981181.9128,0.721527625,981181.917,0.717307306,-0.004220319,-4.271719407,-2.644705962,-3.01873226,-3.39275832,-3.766784142,-4.140810441,-1.496104479,-4.702665461,0.430946055,216795.3421,380807.4069
